Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2515","Seigle et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2517","Millet et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","221","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","3306","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2807","Riz et produits","2017","2017","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","1740","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2513","Orge et produits","2017","2017","Milliers de tonnes","8916","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","2118","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","966","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","17","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2517","Millet et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2517","Millet et produits","2017","2017","Milliers de tonnes","23","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","138","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","51","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","4470","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2807","Riz et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","550","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2513","Orge et produits","2017","2017","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","18040","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","516","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2515","Seigle et produits","2017","2017","Milliers de tonnes","52","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","470","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","56","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2517","Millet et produits","2017","2017","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","1935","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","32","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","105","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","394","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5521","Aliments pour animaux","S2807","Riz et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5521","Aliments pour animaux","S2513","Orge et produits","2017","2017","Milliers de tonnes","91","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","50","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2515","Seigle et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2517","Millet et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","4086","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","1823","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2807","Riz et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","366","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2513","Orge et produits","2017","2017","Milliers de tonnes","2325","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","237","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","103","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2515","Seigle et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2515","Seigle et produits","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","1639","I","Valeur imputée"
