id_bien;id_commune;no_voie;type_voie;indice_repetition;voie;nombre_piece;surface_carrez;surface_reelle_bati;type_local
20084;75118;84;RUE;;MARCADET;1;10.07;10;Appartement
20138;75118;6;PAS;;DE CLICHY;1;10.07;9;Appartement
21589;77183;52;RUE;;DE REUIL;1;10.07;42;Appartement
20171;75118;52;BD;;BARBES;1;10.08;10;Appartement
17216;75110;210;RUE;;DU FBG ST MARTIN;1;10.1;15;Appartement
20814;76259;15;RUE;;OSCAR GRINDEL;0;10.14;23;Maison
17514;75111;26;RUE;;TITON;1;10.15;11;Appartement
21674;77243;84;RUE;;SAINT DENIS;1;10.15;16;Appartement
17205;75110;203;RUE;;DU FBG ST MARTIN;1;10.16;18;Appartement
18018;75112;21;AV;;DU BEL AIR;1;10.18;11;Appartement
5724;31555;100;AV;;CRAMPEL;1;10.19;19;Appartement
20215;75119;12;RUE;;DES SOLITAIRES;1;10.19;16;Appartement
20307;75119;36;RUE;;MATHIS;1;10.19;11;Appartement
7054;34003;2;IMP;;DES SARGASSES;1;10.2;10;Appartement
31340;94041;18;AV;;JEAN JAURES;1;10.2;20;Appartement
16647;75106;86;RUE;;DU CHERCHE MIDI;1;10.22;10;Appartement
16012;75102;14;RUE;;SAINTE FOY;1;10.23;11;Appartement
17639;75111;78;RUE;;JEAN PIERRE TIMBAUD;1;10.25;9;Appartement
19784;75118;15;RUE;;CAPITAINE MADON;1;10.26;11;Appartement
22663;78146;17;PL;;MAURICE BERTEAUX;1;10.27;15;Appartement
29753;93032;9001;RUE;;DE LA MONTAGNE SAVART;1;10.29;10;Appartement
9463;42207;51;RUE;;SIBERT;1;10.3;229;Appartement
27968;92014;2;AV;;GALOIS;2;10.3;20;Appartement
17656;75111;88;RUE;;OBERKAMPF;1;10.32;12;Appartement
13695;65440;12;RUE;;LAGARRIGUE;1;10.33;11;Appartement
20297;75119;32;RUE;;DES SOLITAIRES;1;10.33;12;Appartement
19106;75116;45;BD;;MURAT;1;10.36;9;Appartement
17397;75110;60;BD;;DE MAGENTA;1;10.38;11;Appartement
7775;35238;20;RUE;;DE LA VISITATION;1;10.41;15;Appartement
17835;75112;15;RUE;B;CHALIGNY;1;10.44;12;Appartement
15355;72181;124;RUE;;CHANZY;1;10.46;10;Appartement
25462;84007;64;RUE;;DES LICES;1;10.51;11;Appartement
